"Name","ID","Group","blur_kernel_size","morph_iterations","morph_kernel_size","threshold_high","threshold_low","detection_rate","mean_iou"
"canny-trial-0134","249a2q9h","20260611-152809","11","15","7","99.68744566209666","71.25279268506833","0.5980392156862745","0.5562573888031036"
"canny-trial-0110","uhptfxop","20260611-152809","11","15","7","99.21470445101994","65.2626896385325","0.5980392156862745","0.5553197624222717"
"canny-trial-0141","2hk3zzo8","20260611-152809","11","14","7","93.31003985252296","55.22840113237935","0.5882352941176471","0.5667992164858177"
"canny-trial-0140","uo6lu0mr","20260611-152809","11","14","7","92.5175944193748","54.44596744631959","0.5882352941176471","0.5667992164858177"
"canny-trial-0122","onzklbs1","20260611-152809","11","15","7","93.44817859930966","74.87187636563635","0.5784313725490197","0.5592840728508632"
"canny-trial-0123","1q3a1sd1","20260611-152809","11","15","7","90.50087724172784","72.59787163080117","0.5784313725490197","0.5549982429189887"
"canny-trial-0142","fw4kbzat","20260611-152809","11","13","7","88.8308713531275","54.15523879840599","0.5784313725490197","0.5634319332154994"
"canny-trial-0146","t7wh9fwc","20260611-152809","11","13","7","89.12924945746747","52.189661390537495","0.5784313725490197","0.5629612179073382"
"canny-trial-0120","tkhy6me5","20260611-152809","11","15","7","90.87046635066828","74.0697758374158","0.5686274509803921","0.5541075406195425"
"canny-trial-0112","ls7k6qxy","20260611-152809","11","15","7","92.98039418055592","63.50637570808232","0.5686274509803921","0.5573493070207659"
"canny-trial-0117","e71405vt","20260611-152809","11","15","7","90.80418118407188","68.88837217263358","0.5686274509803921","0.5547996591328959"
"canny-trial-0147","9q1kuafz","20260611-152809","11","12","7","91.48727095640234","53.74818604072448","0.5588235294117647","0.5426472718155053"
"canny-trial-0108","mnbjzk68","20260611-152809","11","15","7","75.68189382507391","43.74229580732833","0.5588235294117647","0.6204726242539006"
"canny-trial-0128","l3m5bbyp","20260611-152809","11","14","7","91.43636734401186","59.15733648859758","0.5588235294117647","0.5435484358281221"
"canny-trial-0109","hvwo4jkw","20260611-152809","11","15","7","89.89643921108191","58.94062940948626","0.5588235294117647","0.5571604995198467"
"canny-trial-0143","45uyc17g","20260611-152809","11","12","7","92.8690459201828","53.648503801043454","0.5588235294117647","0.5372774451275265"
"canny-trial-0126","s03j9240","20260611-152809","11","14","7","94.45893587004684","71.41577058894028","0.5490196078431373","0.5284634478373276"
"canny-trial-0111","w53fy6b4","20260611-152809","11","15","7","89.5362162904481","60.02946703921995","0.5490196078431373","0.5481352023280222"
"canny-trial-0118","5poltrbq","20260611-152809","11","15","7","98.43910655973772","77.45247626654246","0.5490196078431373","0.5111786079829403"
"canny-trial-0131","uxipzww3","20260611-152809","11","15","7","83.08654942004657","63.71616492509298","0.5490196078431373","0.5746984975631299"
"canny-trial-0135","9waghhra","20260611-152809","11","14","7","98.2159977710176","71.27228111589886","0.5392156862745098","0.5013606042743618"
"canny-trial-0105","0s8g3exj","20260611-152809","11","15","5","75.0906640942427","26.882848142054925","0.5294117647058824","0.5737821970959627"
"canny-trial-0125","rlyjzqca","20260611-152809","11","14","7","96.56157575829538","72.72787811163619","0.5294117647058824","0.49676446240705247"
"canny-trial-0102","bc6g4wq1","20260611-152809","11","15","5","78.69076565867617","29.1635515285595","0.5294117647058824","0.5636684387111258"
"canny-trial-0096","bedj5hp3","20260611-152809","11","15","5","86.29020374106477","35.33686700371571","0.5196078431372549","0.5222968201273718"
"canny-trial-0127","uvfczwi5","20260611-152809","11","14","7","90.79506256664448","76.43932346120496","0.5196078431372549","0.5115098554931528"
"canny-trial-0145","t226xhqk","20260611-152809","11","12","7","89.92869046854379","58.38761696336335","0.5196078431372549","0.5113961862514738"
"canny-trial-0138","s4wwl7i4","20260611-152809","11","14","7","108.2943848529113","65.29562280861032","0.5196078431372549","0.48314249248821595"
"canny-trial-0095","wdwnpe37","20260611-152809","11","15","5","85.38890787955913","33.52957074960473","0.5196078431372549","0.5449599093642202"
"canny-trial-0133","b0om5p88","20260611-152809","11","14","7","82.36727891854075","62.16983716554331","0.5196078431372549","0.5408859072552673"
"canny-trial-0100","m7ywdf8h","20260611-152809","11","15","5","85.90545575850585","33.64698661789065","0.5196078431372549","0.5449599093642202"
