"Name","ID","Group","prompt","score_threshold","detection_rate","mean_iou"
"sam-trial-0019","tqtsrw5k","20260611-161959","rectangular photograph","0.6827165393768234","0.9901960784313726","0.9487144207150964"
"sam-trial-0041","hzpa0xs6","20260611-161959","rectangular photograph","0.6284594105464393","0.9901960784313726","0.9487144207150964"
"sam-trial-0015","2ackihep","20260611-161959","rectangular photograph","0.6781474901164721","0.9901960784313726","0.9487144207150964"
"sam-trial-0033","zcg7eaac","20260611-161959","rectangular photograph","0.601242234689565","0.9901960784313726","0.9487144207150964"
"sam-trial-0043","7iptcc2b","20260611-161959","rectangular photograph","0.6011118620741158","0.9901960784313726","0.9487144207150964"
"sam-trial-0026","7ytu96ug","20260611-161959","rectangular photograph","0.5413239984588115","0.9901960784313726","0.9487144207150964"
"sam-trial-0031","9xr5dmtg","20260611-161959","rectangular photograph","0.6497124285828038","0.9901960784313726","0.9487144207150964"
"sam-trial-0022","a5tkklwm","20260611-161959","rectangular photograph","0.6410182841390242","0.9901960784313726","0.9487144207150964"
"sam-trial-0042","g2ljk801","20260611-161959","rectangular photograph","0.6349670331833511","0.9901960784313726","0.9487144207150964"
"sam-trial-0032","fyrfvhnb","20260611-161959","rectangular photograph","0.5210379562664612","0.9901960784313726","0.9487144207150964"
"sam-trial-0044","q2kx5jg5","20260611-161959","rectangular photograph","0.6633735535469143","0.9901960784313726","0.9487144207150964"
"sam-trial-0024","dh8ouiaj","20260611-161959","rectangular photograph","0.629306236775518","0.9901960784313726","0.9487144207150964"
"sam-trial-0047","e13ti7be","20260611-161959","rectangular photograph","0.5906190886462117","0.9901960784313726","0.9487144207150964"
"sam-trial-0021","ny58a743","20260611-161959","rectangular photograph","0.6413995619681352","0.9901960784313726","0.9487144207150964"
"sam-trial-0018","jel1uqhc","20260611-161959","rectangular photograph","0.6736758287807445","0.9901960784313726","0.9487144207150964"
"sam-trial-0007","hrd75k77","20260611-161959","scanned photo print","0.5846039962508023","0.9803921568627452","0.9388748294019584"
"sam-trial-0048","ugelzkzi","20260611-161959","scanned photo print","0.5592863147541997","0.9803921568627452","0.9388748294019584"
"sam-trial-0023","z79hlsr2","20260611-161959","rectangular photograph","0.7275122951750523","0.9705882352941176","0.9315521399536116"
"sam-trial-0001","x70e08kg","20260611-161959","vintage photograph","0.5032599508730393","0.9803921568627452","0.9240272149433638"
"sam-trial-0002","a0b54bhj","20260611-161959","vintage photograph","0.4576805905521505","0.9803921568627452","0.9240272149433638"
"sam-trial-0014","b239islu","20260611-161959","vintage photograph","0.33345798330410625","0.9803921568627452","0.9240272149433638"
"sam-trial-0000","d10xxdkj","20260611-161959","vintage photograph","0.2045185389236179","0.9803921568627452","0.9240272149433638"
"sam-trial-0011","ftaa5ef2","20260611-161959","vintage photograph","0.22018976999384496","0.9803921568627452","0.9240272149433638"
"sam-trial-0025","2h85948j","20260611-161959","rectangular photograph","0.7374124805485036","0.9607843137254902","0.9219670172239316"
"sam-trial-0012","9buawt5a","20260611-161959","rectangular image","0.3560086619260504","0.9509803921568628","0.915155082191131"
"sam-trial-0036","zxfioshh","20260611-161959","scanned photo print","0.6480539319034687","0.9509803921568628","0.910982647596844"
"sam-trial-0013","j338rks6","20260611-161959","printed photograph","0.5656449106902333","0.9705882352941176","0.8941206037315642"
"sam-trial-0038","cq87391l","20260611-161959","rectangular image","0.5654571275226523","0.9117647058823528","0.8796110234044898"
"sam-trial-0016","l387y1ml","20260611-161959","rectangular photograph","0.7950177332451407","0.8529411764705882","0.8209793526746345"
"sam-trial-0005","hjav1oq6","20260611-161959","image","0.6884415451280091","0.8431372549019608","0.788985474194066"
"sam-trial-0035","9td26ud7","20260611-161959","image","0.698463788807394","0.8333333333333334","0.7795982918977968"
"sam-trial-0040","i76nl435","20260611-161959","printed photograph","0.6605812075366606","0.8235294117647058","0.7622986698543273"
"sam-trial-0046","ztyx8aor","20260611-161959","image","0.7060085264211601","0.7941176470588235","0.7441907506576003"
"sam-trial-0003","fwfjyv1h","20260611-161959","old photograph","0.25971011877751254","0.7745098039215687","0.7264024088864887"
"sam-trial-0027","nc26nuag","20260611-161959","photograph","0.6856690901399299","0.7647058823529411","0.7246030817816382"
"sam-trial-0020","ewa4xq64","20260611-161959","photograph","0.7277641048681361","0.5980392156862745","0.5685629954219362"
"sam-trial-0029","df2r74hg","20260611-161959","old photograph","0.6708837314099185","0.5980392156862745","0.5601697951285864"
"sam-trial-0004","b9za7bdv","20260611-161959","paper photo","0.4558778103501878","0.392156862745098","0.37524063424103216"
"sam-trial-0045","c4988gnc","20260611-161959","old photograph","0.7644189208255046","0.3627450980392157","0.3427085046497716"
"sam-trial-0028","qu9nci6q","20260611-161959","photo print","0.6142639186640239","0.24509803921568624","0.23361479587593229"
"sam-trial-0009","1gn59mrb","20260611-161959","image with people","0.2664549700848793","0.24509803921568624","0.22554544746102476"
"sam-trial-0006","3vka4wpx","20260611-161959","paper photo","0.5804114694610019","0.2058823529411765","0.19644204824187092"
"sam-trial-0017","r1vp1l0x","20260611-161959","photo print","0.6843463100302293","0.19607843137254904","0.1887592862760771"
"sam-trial-0039","9409foh8","20260611-161959","paper photo","0.7070757474149972","0.0196078431372549","0.018614614049980563"
"sam-trial-0030","uczsje81","20260611-161959","image with people","0.7324400554430146","0.0196078431372549","0.017887722445225917"
"sam-trial-0008","j8nczg1n","20260611-161959","rectangular with people","0.4151453178920144","0","0"
"sam-trial-0034","e7yv4g7g","20260611-161959","photograph with people","0.7571817760458748","0","0"
"sam-trial-0010","tno8x9pu","20260611-161959","photograph with people","0.7728579938327711","0","0"
"sam-trial-0037","8ze8dfi6","20260611-161959","rectangular with people","0.4705711846642956","0","0"
"sam-trial-0049","1sp990tg","20260611-161959","image with people","0.7945717223912303","0","0"
