method,rank,score,source_photo,crop_image,gt_person_id,correct
max,1,0.9657,FCXZ97GMYoZfET9/20260421_183356,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183356/face_00.jpg,,1
max,2,0.9654,XfBqCe7qtcbfMLb/20260429_171643,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_171643/face_00.jpg,,1
max,3,0.9609,8a6stfqDGdg3MHX/20260428_171105,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_171105/face_00.jpg,,1
max,4,0.9586,GRNn5dqntxTo6Am/20260429_164355,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164355/face_00.jpg,,1
max,5,0.9572,EjBRbsZ4L3kT36j/20260428_171605,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171605/face_00.jpg,,1
max,6,0.9551,GRNn5dqntxTo6Am/20260429_162928,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_162928/face_02.jpg,,1
max,7,0.9457,EjBRbsZ4L3kT36j/20260428_171418,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171418/face_00.jpg,,1
max,8,0.9439,KGQ6aDsd2aaKoMX/20260422_172747,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172747/face_00.jpg,,1
max,9,0.9424,EjBRbsZ4L3kT36j/20260428_171840,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171840/face_00.jpg,,1
max,10,0.9408,KGQ6aDsd2aaKoMX/20260422_173523,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_173523/face_00.jpg,,1
max,11,0.9402,CdSg23WdQcjMDrZ/20260421_175521,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_175521/face_02.jpg,,1
max,12,0.9379,PKRGk5ArAJnotHc/20260428_162457,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_162457/face_00.jpg,,1
max,13,0.936,fQizjwKj2MaqQQC/20260506_171036,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_171036/face_00.jpg,,1
max,14,0.9333,zemaAxcRyw3NqXb/20260405_151736,data/steps/face_crop/zemaAxcRyw3NqXb/20260405_151736/face_01.jpg,,1
max,15,0.9327,CdSg23WdQcjMDrZ/20260421_175511,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_175511/face_00.jpg,,1
max,16,0.9296,FCXZ97GMYoZfET9/20260421_182141,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_182141/face_02.jpg,,1
