method,rank,score,source_photo,crop_image,gt_person_id,correct
centroid,1,0.8072,EjBRbsZ4L3kT36j/20260428_171605,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171605/face_01.jpg,,1
centroid,2,0.7942,GRNn5dqntxTo6Am/20260429_164355,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164355/face_01.jpg,,1
centroid,3,0.7891,KGQ6aDsd2aaKoMX/20260422_172747,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172747/face_01.jpg,,1
centroid,4,0.7839,EjBRbsZ4L3kT36j/20260428_171759,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171759/face_02.jpg,,1
centroid,5,0.7831,FCXZ97GMYoZfET9/20260421_183647,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183647/face_02.jpg,,1
centroid,6,0.7818,8a6stfqDGdg3MHX/20260428_165430,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165430/face_00.jpg,,1
centroid,7,0.7803,CdSg23WdQcjMDrZ/20260421_180551,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180551/face_00.jpg,,1
centroid,8,0.7793,FCXZ97GMYoZfET9/20260421_182355,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_182355/face_02.jpg,,1
centroid,9,0.777,GRNn5dqntxTo6Am/20260429_164046,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164046/face_01.jpg,,1
centroid,10,0.7757,FCXZ97GMYoZfET9/20260421_182411,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_182411/face_00.jpg,,1
centroid,11,0.7741,EjBRbsZ4L3kT36j/20260428_172035,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172035/face_01.jpg,,1
centroid,12,0.7655,8a6stfqDGdg3MHX/20260428_170646,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_170646/face_01.jpg,,1
centroid,13,0.7655,CdSg23WdQcjMDrZ/20260421_180939,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180939/face_01.jpg,,1
centroid,14,0.7641,EjBRbsZ4L3kT36j/20260428_171634,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171634/face_00.jpg,,1
centroid,15,0.7629,GRNn5dqntxTo6Am/20260429_164920,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164920/face_01.jpg,,1
centroid,16,0.7612,EcGMKXPB8XXMrSj/20260514_182240,data/steps/face_crop/EcGMKXPB8XXMrSj/20260514_182240/face_00.jpg,,1
centroid,17,0.7592,KGQ6aDsd2aaKoMX/20260422_175020,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_175020/face_01.jpg,,1
centroid,18,0.7589,8a6stfqDGdg3MHX/20260428_165617,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165617/face_00.jpg,,1
centroid,19,0.7585,KGQ6aDsd2aaKoMX/20260422_175510,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_175510/face_03.jpg,,1
centroid,20,0.7565,GRNn5dqntxTo6Am/20260429_163038,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163038/face_03.jpg,,1
centroid,21,0.7508,CdSg23WdQcjMDrZ/20260421_181245,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_181245/face_01.jpg,,1
centroid,22,0.7494,8a6stfqDGdg3MHX/20260428_170814,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_170814/face_01.jpg,,1
centroid,23,0.7444,XfBqCe7qtcbfMLb/20260429_171513,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_171513/face_01.jpg,,1
centroid,24,0.7444,FCXZ97GMYoZfET9/20260421_181822,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_181822/face_01.jpg,,1
centroid,25,0.7442,EjBRbsZ4L3kT36j/20260428_172158,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172158/face_00.jpg,,1
centroid,26,0.7425,8a6stfqDGdg3MHX/20260428_165633,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165633/face_01.jpg,,1
centroid,27,0.7342,CdSg23WdQcjMDrZ/20260421_180342,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180342/face_04.jpg,,1
centroid,28,0.7324,EjBRbsZ4L3kT36j/20260428_171709,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171709/face_01.jpg,,1
centroid,29,0.7306,FCXZ97GMYoZfET9/20260421_184121,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_184121/face_02.jpg,,1
centroid,30,0.7293,8a6stfqDGdg3MHX/20260428_170716,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_170716/face_01.jpg,,1
centroid,31,0.7259,FCXZ97GMYoZfET9/20260421_183540,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183540/face_01.jpg,,1
centroid,32,0.7234,EcGMKXPB8XXMrSj/20260514_182940,data/steps/face_crop/EcGMKXPB8XXMrSj/20260514_182940/face_00.jpg,,1
centroid,33,0.7228,EjBRbsZ4L3kT36j/20260428_171418,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171418/face_02.jpg,,1
centroid,34,0.7218,GRNn5dqntxTo6Am/20260429_163618,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163618/face_02.jpg,,1
centroid,35,0.72,KGQ6aDsd2aaKoMX/20260422_172734,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_172734/face_00.jpg,,1
centroid,36,0.7193,CdSg23WdQcjMDrZ/20260421_181330,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_181330/face_01.jpg,,1
centroid,37,0.7192,EjBRbsZ4L3kT36j/20260428_171628,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171628/face_02.jpg,,1
centroid,38,0.7184,FCXZ97GMYoZfET9/20260421_181733,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_181733/face_02.jpg,,1
centroid,39,0.7167,8a6stfqDGdg3MHX/20260428_165028,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165028/face_04.jpg,,1
centroid,40,0.7165,GRNn5dqntxTo6Am/20260429_165435,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_165435/face_00.jpg,,1
centroid,41,0.7132,3fBXinPqztWt3CP/20260421_185934,data/steps/face_crop/3fBXinPqztWt3CP/20260421_185934/face_00.jpg,,1
centroid,42,0.713,3fBXinPqztWt3CP/20260421_184550,data/steps/face_crop/3fBXinPqztWt3CP/20260421_184550/face_02.jpg,,1
centroid,43,0.7126,CdSg23WdQcjMDrZ/20260421_180832,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180832/face_04.jpg,,1
centroid,44,0.7106,GRNn5dqntxTo6Am/20260429_162928,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_162928/face_00.jpg,,1
centroid,45,0.7102,GRNn5dqntxTo6Am/20260429_163754,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163754/face_00.jpg,,1
centroid,46,0.7094,GRNn5dqntxTo6Am/20260429_163956,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163956/face_01.jpg,,1
centroid,47,0.7084,EcGMKXPB8XXMrSj/20260514_182253,data/steps/face_crop/EcGMKXPB8XXMrSj/20260514_182253/face_01.jpg,,1
centroid,48,0.7079,EjBRbsZ4L3kT36j/20260428_172043,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172043/face_01.jpg,,1
centroid,49,0.7074,PKRGk5ArAJnotHc/20260428_164453,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_164453/face_00.jpg,,1
centroid,50,0.7072,PKRGk5ArAJnotHc/20260428_164245,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_164245/face_01.jpg,,1
centroid,51,0.7061,GRNn5dqntxTo6Am/20260429_164103,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164103/face_00.jpg,,1
centroid,52,0.706,PKRGk5ArAJnotHc/20260428_164315,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_164315/face_00.jpg,,1
centroid,53,0.7051,KGQ6aDsd2aaKoMX/20260422_175539,data/steps/face_crop/KGQ6aDsd2aaKoMX/20260422_175539/face_01.jpg,,1
